amount_in,amount_out,in_token,out_token,platform,timestamp,tx_hash,volume_usd,wallet
2.240867611,42490798.02,WSOL,$25.8m,pumpdotfun,2025-07-03 06:19:27.000 UTC,38QSi6fxtJsWUyZudkEq1UNFRXrpvuxeFXgypXsUisDcei2gLvbVFB7BRtQwBJaaQUy2AdSTL4CfGTeEydp1Ezt9,347.9843313,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
28161.22906,1.98,BTC,WSOL,raydium,2025-07-03 06:25:57.000 UTC,2M2YYdMRZdopiBjcaz3kykeAJoig6uJiXSgjcduazbnXSQQ2MYB2MenLLr4aANDpi5nT266VjseiFW3qQhKdZXSk,307.7118,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
40436839.82,1.485,æ£’ä¸­æŒ‡,WSOL,raydium_launchlab,2025-07-03 06:30:51.000 UTC,5T9gTV3Lw982t9taYxpsVhCiso7NF4fPr25ZHU5nbqYbxWKknvkKEzLcuvLTSUrTd1wbYB4HbbhaSrZZiUxPNhhM,230.84325,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
4620260.825,0.2475,æ£’ä¸­æŒ‡,WSOL,raydium_launchlab,2025-07-03 06:31:08.000 UTC,2FXLpLwv941PnVYwAtyXKKzhj4qZcZRwVBrEUNbWedJhd4EVaepDTkXAHQcdaNFesRvo7BWi2KHQfjBa2yPZJbUs,38.473875,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
2.57676384,45057100.64,WSOL,æ£’ä¸­æŒ‡,raydium_launchlab,2025-07-03 06:31:20.000 UTC,5ozr4Sv9kGFKzhTFM71rLt8VSWZBHzkN7nXssMfriM5UR8gGrN4BnWesdfGnh3WBaEgQWLjDbLWudaSB5h52ioGp,400.5579389,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
41108726.61,1.470297028,NimDoor,WSOL,pumpdotfun,2025-07-03 06:31:52.000 UTC,2VR2AV9XPWT8iujk78FsUGUDDE31U4t73YvesahoGagoAAwJSokXBh2UXsxRtuRM8sZUNR75gHEVivVgFPuM9qHh,228.557673,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
4551012.198,0.245049503,NimDoor,WSOL,pumpdotfun,2025-07-03 06:32:10.000 UTC,3ncGk3SrP7M4CFQdFCLaHVxPGNN1AoH4oBjDytybBbVL99HVRm7sS94DjRg8Ug5CX4HM5437wfd8oHdmtwkzG6Vv,38.09294524,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
2.153434932,45659738.81,WSOL,NimDoor,pumpdotfun,2025-07-03 06:32:21.000 UTC,4SSkPPE8NxTw7FG1d2pjmf39dTdZao4Wyhr7LZXGSpQ4sPKGU4RUhVC7r67YaQsFqDNLHE9GdfjDr2tAEJYv9dnK,334.7514602,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
153.776772,0.99,USDC,WSOL,raydium,2025-07-03 06:32:40.000 UTC,38EzHy4noAsT1LbBHiAwYkghd2ijgex6Q8iaWxkd4ceJs8j6iwW4fbDVq6RS1bZEpp8sCG5wB9LTk9CTvhPpBH14,153.7658538,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
9.859056881,227743.4669,WSOL,BlueChip,raydium,2025-07-03 06:39:22.000 UTC,4iKvbou47zWybQajFYe2K1kBXbACnvELDPYGxig29x9zMpMCVCWszKPzVJdvS6YpBuQ3Bn5fmzEgtrbUUWSwrSmi,1531.604486,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj
