amount_in,amount_out,in_token,out_token,platform,timestamp,tx_hash,volume_usd,wallet,new_timestamp,latency,tim_in_sec,platform_encoded,price_out,price_change_pct,position_change,pl_pattern,consecutive_losses,consecutive_wins,hour,trade_freq,volume_spike,timesamp,time_diff,price_in,pnl
2.240867611,42490798.02,WSOL,$25.8m,pumpdotfun,7/3/2025 6:19,38QSi6fxtJsWUyZudkEq1UNFRXrpvuxeFXgypXsUisDcei2gLvbVFB7BRtQwBJaaQUy2AdSTL4CfGTeEydp1Ezt9,347.9843313,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:19,1,1,0,8.19E-06,,,,,,7/3/2025 6:00,11,FALSE,7/3/2025 6:19,,155.29,
28161.22906,1.98,BTC,WSOL,raydium,7/3/2025 6:25,2M2YYdMRZdopiBjcaz3kykeAJoig6uJiXSgjcduazbnXSQQ2MYB2MenLLr4aANDpi5nT266VjseiFW3qQhKdZXSk,307.7118,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:25,0 days 00:06:30,390,2,155.41,1897641353,12566.10969,-40.2725313,,,7/3/2025 6:00,11,FALSE,7/3/2025 6:25,6.5,0.010926789,-0.010918599
40436839.82,1.485,æ£’ä¸­æŒ‡,WSOL,raydium_launchlab,7/3/2025 6:30,5T9gTV3Lw982t9taYxpsVhCiso7NF4fPr25ZHU5nbqYbxWKknvkKEzLcuvLTSUrTd1wbYB4HbbhaSrZZiUxPNhhM,230.84325,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:30,0 days 00:04:54,294,3,155.45,0.025738369,1434.904652,-76.86855,2,0,7/3/2025 6:00,11,FALSE,7/3/2025 6:30,4.9,5.71E-06,155.4099943
4620260.825,0.2475,æ£’ä¸­æŒ‡,WSOL,raydium_launchlab,7/3/2025 6:31,2FXLpLwv941PnVYwAtyXKKzhj4qZcZRwVBrEUNbWedJhd4EVaepDTkXAHQcdaNFesRvo7BWi2KHQfjBa2yPZJbUs,38.473875,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:31,0 days 00:00:17,17,3,155.45,0,-0.885741298,-192.369375,3,0,7/3/2025 6:00,11,FALSE,7/3/2025 6:31,0.283333333,8.33E-06,155.4499917
2.57676384,45057100.64,WSOL,æ£’ä¸­æŒ‡,raydium_launchlab,7/3/2025 6:31,5ozr4Sv9kGFKzhTFM71rLt8VSWZBHzkN7nXssMfriM5UR8gGrN4BnWesdfGnh3WBaEgQWLjDbLWudaSB5h52ioGp,400.5579389,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:31,0 days 00:00:12,12,3,8.89E-06,-99.99999428,-0.999999442,362.0840639,2,1,7/3/2025 6:00,11,TRUE,7/3/2025 6:31,0.2,155.45,1.09E-08
41108726.61,1.470297028,NimDoor,WSOL,pumpdotfun,7/3/2025 6:31,2VR2AV9XPWT8iujk78FsUGUDDE31U4t73YvesahoGagoAAwJSokXBh2UXsxRtuRM8sZUNR75gHEVivVgFPuM9qHh,228.557673,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:31,0 days 00:00:32,32,0,155.45,1748592454,15953625.01,-172.0002659,2,1,7/3/2025 6:00,11,FALSE,7/3/2025 6:31,0.533333333,5.56E-06,3.33E-06
4551012.198,0.245049503,NimDoor,WSOL,pumpdotfun,7/3/2025 6:32,3ncGk3SrP7M4CFQdFCLaHVxPGNN1AoH4oBjDytybBbVL99HVRm7sS94DjRg8Ug5CX4HM5437wfd8oHdmtwkzG6Vv,38.09294524,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:32,0 days 00:00:18,18,0,155.45,-2.41E-09,-0.889293282,-190.4647278,2,1,7/3/2025 6:00,11,FALSE,7/3/2025 6:32,0.3,8.37E-06,155.4499916
2.153434932,45659738.81,WSOL,NimDoor,pumpdotfun,7/3/2025 6:32,4SSkPPE8NxTw7FG1d2pjmf39dTdZao4Wyhr7LZXGSpQ4sPKGU4RUhVC7r67YaQsFqDNLHE9GdfjDr2tAEJYv9dnK,334.7514602,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:32,0 days 00:00:11,11,0,7.33E-06,-99.99999528,-0.999999527,296.658515,2,1,7/3/2025 6:00,11,FALSE,7/3/2025 6:32,0.183333333,155.45,-1.51E-08
153.776772,0.99,USDC,WSOL,raydium,7/3/2025 6:32,38EzHy4noAsT1LbBHiAwYkghd2ijgex6Q8iaWxkd4ceJs8j6iwW4fbDVq6RS1bZEpp8sCG5wB9LTk9CTvhPpBH14,153.7658538,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:32,0 days 00:00:19,19,2,155.3190442,2118534943,70.40999234,-180.9856064,2,1,7/3/2025 6:00,11,FALSE,7/3/2025 6:32,0.316666667,0.999929,-0.999921668
9.859056881,227743.4669,WSOL,BlueChip,raydium,7/3/2025 6:39,4iKvbou47zWybQajFYe2K1kBXbACnvELDPYGxig29x9zMpMCVCWszKPzVJdvS6YpBuQ3Bn5fmzEgtrbUUWSwrSmi,1531.604486,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,7/3/2025 6:39,0 days 00:06:42,402,2,0.00672513,-99.99567012,-0.935887217,1377.838632,1,2,7/3/2025 6:00,11,TRUE,7/3/2025 6:39,6.7,155.35,-0.030955711
