amount_in,amount_out,in_token,out_token,platform,timestamp,tx_hash,volume_usd,wallet,new_timestamp,latency,tim_in_sec,platform_encoded,price_out,price_change_pct,position_change,pl_pattern,consecutive_losses,consecutive_wins,hour,trade_freq,volume_spike,timesamp,time_diff,price_in,pnl,emotion,trigger_details
2.240867611,42490798.02,WSOL,$25.8m,pumpdotfun,2025-07-03 06:19:27,38QSi6fxtJsWUyZudkEq1UNFRXrpvuxeFXgypXsUisDcei2gLvbVFB7BRtQwBJaaQUy2AdSTL4CfGTeEydp1Ezt9,347.9843313,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:19:27,1,1,0,8.189639816512912e-06,,,,,,2025-07-03 06:00:00,11,False,2025-07-03 06:19:27,,155.28999999456013,,neutral,
28161.22906,1.98,BTC,WSOL,raydium,2025-07-03 06:25:57,2M2YYdMRZdopiBjcaz3kykeAJoig6uJiXSgjcduazbnXSQQ2MYB2MenLLr4aANDpi5nT266VjseiFW3qQhKdZXSk,307.7118,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:25:57,0 days 00:06:30,390,2,155.41,1897641352.8834848,12566.109686338361,-40.272531300000026,,,2025-07-03 06:00:00,11,False,2025-07-03 06:25:57,6.5,0.010926788718787545,-0.010918599078971032,neutral,
40436839.82,1.485,æ£’ä¸­æŒ‡,WSOL,raydium_launchlab,2025-07-03 06:30:51,5T9gTV3Lw982t9taYxpsVhCiso7NF4fPr25ZHU5nbqYbxWKknvkKEzLcuvLTSUrTd1wbYB4HbbhaSrZZiUxPNhhM,230.84325,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:30:51,0 days 00:04:54,294,3,155.45,0.025738369474281875,1434.9046522382143,-76.86854999999997,2.0,0.0,2025-07-03 06:00:00,11,False,2025-07-03 06:30:51,4.9,5.708736167998601e-06,155.40999429126384,neutral,
4620260.825,0.2475,æ£’ä¸­æŒ‡,WSOL,raydium_launchlab,2025-07-03 06:31:08,2FXLpLwv941PnVYwAtyXKKzhj4qZcZRwVBrEUNbWedJhd4EVaepDTkXAHQcdaNFesRvo7BWi2KHQfjBa2yPZJbUs,38.473875,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:31:08,0 days 00:00:17,17,3,155.45,0.0,-0.8857412981438073,-192.36937500000002,3.0,0.0,2025-07-03 06:00:00,11,False,2025-07-03 06:31:08,0.2833333333333333,8.327208453648284e-06,155.44999167279153,revenge,"After loss: -76.87, latency: 0 days 00:00:17"
2.57676384,45057100.64,WSOL,æ£’ä¸­æŒ‡,raydium_launchlab,2025-07-03 06:31:20,5ozr4Sv9kGFKzhTFM71rLt8VSWZBHzkN7nXssMfriM5UR8gGrN4BnWesdfGnh3WBaEgQWLjDbLWudaSB5h52ioGp,400.5579389,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:31:20,0 days 00:00:12,12,3,8.890006973604506e-06,-99.99999428111485,-0.999999442290395,362.0840639,2.0,1.0,2025-07-03 06:00:00,11,True,2025-07-03 06:31:20,0.2,155.44999998913366,1.0866330057979212e-08,revenge,"After loss: -192.37, latency: 0 days 00:00:12"
41108726.61,1.470297028,NimDoor,WSOL,pumpdotfun,2025-07-03 06:31:52,2VR2AV9XPWT8iujk78FsUGUDDE31U4t73YvesahoGagoAAwJSokXBh2UXsxRtuRM8sZUNR75gHEVivVgFPuM9qHh,228.557673,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:31:52,0 days 00:00:32,32,0,155.44999999823165,1748592454.0866423,15953625.006332036,-172.00026590000002,2.0,1.0,2025-07-03 06:00:00,11,False,2025-07-03 06:31:52,0.5333333333333333,5.559833442868105e-06,3.3301735307364005e-06,greed,"After win: 362.08, pos change: 15953625.01"
4551012.198,0.245049503,NimDoor,WSOL,pumpdotfun,2025-07-03 06:32:10,3ncGk3SrP7M4CFQdFCLaHVxPGNN1AoH4oBjDytybBbVL99HVRm7sS94DjRg8Ug5CX4HM5437wfd8oHdmtwkzG6Vv,38.09294524,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:32:10,0 days 00:00:18,18,0,155.4499999944909,-2.4063973036447805e-09,-0.8892932821496609,-190.46472776,2.0,1.0,2025-07-03 06:00:00,11,False,2025-07-03 06:32:10,0.3,8.370213829956428e-06,155.4499916280178,revenge,"After loss: -172.00, latency: 0 days 00:00:18"
2.153434932,45659738.81,WSOL,NimDoor,pumpdotfun,2025-07-03 06:32:21,4SSkPPE8NxTw7FG1d2pjmf39dTdZao4Wyhr7LZXGSpQ4sPKGU4RUhVC7r67YaQsFqDNLHE9GdfjDr2tAEJYv9dnK,334.7514602,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:32:21,0 days 00:00:11,11,0,7.3314361607054485e-06,-99.99999528373358,-0.9999995268228609,296.65851496,2.0,1.0,2025-07-03 06:00:00,11,False,2025-07-03 06:32:21,0.18333333333333332,155.4500000095661,-1.507521574239945e-08,revenge,"After loss: -190.46, latency: 0 days 00:00:11"
153.776772,0.99,USDC,WSOL,raydium,2025-07-03 06:32:40,38EzHy4noAsT1LbBHiAwYkghd2ijgex6Q8iaWxkd4ceJs8j6iwW4fbDVq6RS1bZEpp8sCG5wB9LTk9CTvhPpBH14,153.7658538,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:32:40,0 days 00:00:19,19,2,155.31904424242424,2118534943.309701,70.40999234055333,-180.9856064,2.0,1.0,2025-07-03 06:00:00,11,False,2025-07-03 06:32:40,0.31666666666666665,0.9999289996801338,-0.9999216682439731,greed,"After win: 296.66, pos change: 70.41"
9.859056881,227743.4669,WSOL,BlueChip,raydium,2025-07-03 06:39:22,4iKvbou47zWybQajFYe2K1kBXbACnvELDPYGxig29x9zMpMCVCWszKPzVJdvS6YpBuQ3Bn5fmzEgtrbUUWSwrSmi,1531.604486,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 06:39:22,0 days 00:06:42,402,2,0.00672513028297981,-99.99567011868005,-0.9358872165621996,1377.8386322,1.0,2.0,2025-07-03 06:00:00,11,True,2025-07-03 06:39:22,6.7,155.3499999530026,-0.030955710578354,neutral,
